timestamp,sender,subject,severity,action_taken
2025-01-05 17:20:59,service@anz.com,Reset Your Password,high,allowed
2025-01-29 17:39:52,service@anz.com,Payment Needed,medium,blocked
2025-01-02 02:46:50,fake@paypal.com,Document Shared With You,medium,flagged
2025-01-12 10:09:04,service@anz.com,Urgent: Account Locked!,medium,flagged
2025-01-16 01:26:30,billing@apple.com,Security Alert,critical,flagged
2025-01-11 09:55:33,fake@paypal.com,Payment Needed,medium,blocked
2025-01-25 09:44:27,security@amazon.com,Document Shared With You,medium,allowed
2025-01-14 05:28:20,hr-support@company.com,Document Shared With You,medium,allowed
2025-01-19 18:38:30,billing@apple.com,Invoice Attached,critical,allowed
2025-01-29 10:22:49,billing@apple.com,Security Alert,high,flagged
2025-01-02 20:49:05,fake@paypal.com,Invoice Attached,medium,allowed
2025-01-28 13:30:37,service@anz.com,Payment Needed,medium,blocked
2025-01-05 21:35:00,hr-support@company.com,Invoice Attached,high,blocked
2025-01-17 06:16:08,fake@paypal.com,Payment Needed,high,blocked
2025-01-14 13:45:19,fake@paypal.com,Urgent: Account Locked!,medium,blocked
2025-01-25 17:57:12,fake@paypal.com,Document Shared With You,high,flagged
2025-01-09 21:55:58,security@amazon.com,Urgent: Account Locked!,high,allowed
2025-01-18 03:10:24,hr-support@company.com,Urgent: Account Locked!,high,blocked
2025-01-02 12:16:06,security@amazon.com,Security Alert,medium,blocked
2025-01-21 17:40:33,unknown@mail.ru,Document Shared With You,medium,allowed
2025-01-10 20:16:18,fake@paypal.com,Urgent: Account Locked!,high,allowed
2025-01-04 03:53:06,fake@paypal.com,Payment Needed,high,allowed
2025-01-14 08:30:41,billing@apple.com,Reset Your Password,high,allowed
2025-01-22 09:01:40,billing@apple.com,Document Shared With You,medium,blocked
2025-01-19 23:20:28,fake@paypal.com,Document Shared With You,medium,blocked
2025-01-27 01:34:59,hr-support@company.com,Urgent: Account Locked!,medium,blocked
2025-01-12 19:08:10,unknown@mail.ru,Invoice Attached,high,blocked
2025-01-27 13:22:13,unknown@mail.ru,Urgent: Account Locked!,medium,flagged
2025-01-30 07:12:19,fake@paypal.com,Document Shared With You,high,blocked
2025-01-23 15:01:13,hr-support@company.com,Payment Needed,medium,blocked
2025-01-06 02:33:03,billing@apple.com,Payment Needed,high,blocked
2025-01-07 16:45:12,hr-support@company.com,Invoice Attached,high,blocked
2025-01-25 08:36:09,security@amazon.com,Urgent: Account Locked!,high,flagged
2025-01-18 23:28:27,unknown@mail.ru,Urgent: Account Locked!,critical,blocked
2025-01-06 04:55:46,billing@apple.com,Payment Needed,critical,flagged
2025-01-20 08:49:14,security@amazon.com,Urgent: Account Locked!,critical,blocked
2025-01-17 19:20:06,security@amazon.com,Payment Needed,high,blocked
2025-01-26 11:07:54,fake@paypal.com,Security Alert,medium,blocked
2025-01-07 09:03:02,hr-support@company.com,Document Shared With You,critical,blocked
2025-01-24 08:47:29,hr-support@company.com,Urgent: Account Locked!,medium,flagged
2025-01-27 23:10:23,hr-support@company.com,Invoice Attached,critical,allowed
2025-01-17 09:41:05,security@amazon.com,Invoice Attached,medium,blocked
2025-01-11 07:57:43,billing@apple.com,Security Alert,high,allowed
