timestamp,source_ip,destination_ip,action,severity,details
2025-01-15 05:37:20,192.168.224.57,25.65.255.151,blocked,medium,Suspicious outbound
2025-01-18 01:52:49,192.168.234.64,255.228.213.5,allowed,medium,Suspicious outbound
2025-01-26 20:40:44,192.168.15.117,52.241.102.66,allowed,critical,Brute-force attempt
2025-01-28 16:15:51,192.168.197.19,222.250.58.19,blocked,medium,Brute-force attempt
2025-01-03 13:25:24,192.168.169.59,66.77.57.105,blocked,high,Normal traffic
2025-01-11 16:46:39,192.168.189.175,95.228.88.62,allowed,low,Normal traffic
2025-01-28 04:36:23,192.168.233.45,186.253.214.157,allowed,low,Suspicious outbound
2025-01-30 22:02:04,192.168.94.46,51.220.204.112,allowed,low,Malware signature found
2025-01-28 04:13:16,192.168.157.61,17.4.155.178,blocked,medium,Brute-force attempt
2025-01-03 20:32:08,192.168.204.77,222.166.13.207,allowed,low,Normal traffic
2025-01-26 19:34:53,192.168.74.198,157.88.143.89,blocked,high,Brute-force attempt
2025-01-08 23:12:39,192.168.165.47,183.254.166.82,allowed,medium,Port scan detected
2025-01-09 10:25:58,192.168.86.96,164.225.213.51,blocked,medium,Suspicious outbound
2025-01-18 21:25:18,192.168.153.119,44.152.192.103,allowed,medium,Port scan detected
2025-01-06 14:55:45,192.168.69.46,94.31.29.89,blocked,low,Suspicious outbound
2025-01-29 10:17:02,192.168.50.6,2.220.93.171,allowed,low,Malware signature found
2025-01-17 06:27:47,192.168.114.230,58.52.73.20,allowed,medium,Normal traffic
2025-01-05 05:41:19,192.168.204.43,23.84.167.167,blocked,low,Suspicious outbound
2025-01-14 09:47:48,192.168.55.9,118.92.79.234,blocked,low,Malware signature found
2025-01-05 11:44:40,192.168.52.19,188.218.103.20,allowed,low,Brute-force attempt
2025-01-01 22:51:08,192.168.28.225,190.180.79.165,allowed,medium,Normal traffic
2025-01-04 07:45:20,192.168.45.212,55.39.90.204,blocked,medium,Normal traffic
2025-01-29 15:46:12,192.168.193.214,231.166.180.79,blocked,critical,Port scan detected
2025-01-24 11:31:37,192.168.242.168,32.111.170.101,allowed,low,Suspicious outbound
2025-01-25 04:06:05,192.168.146.196,143.46.105.57,allowed,medium,Port scan detected
2025-01-26 21:02:59,192.168.201.23,85.142.73.206,allowed,medium,Normal traffic
2025-01-08 18:30:45,192.168.27.122,141.20.94.138,allowed,critical,Suspicious outbound
2025-01-20 11:59:04,192.168.235.71,241.146.145.229,blocked,critical,Port scan detected
2025-01-03 06:13:06,192.168.122.84,194.17.168.56,allowed,medium,Normal traffic
2025-01-28 10:43:48,192.168.10.133,238.88.226.46,allowed,high,Port scan detected
2025-01-23 05:42:32,192.168.254.36,16.231.215.138,blocked,critical,Brute-force attempt
2025-01-13 00:09:37,192.168.107.176,56.181.40.97,blocked,critical,Normal traffic
2025-01-24 10:53:32,192.168.152.193,150.65.170.225,blocked,medium,Malware signature found
2025-01-07 06:53:12,192.168.191.243,42.225.101.184,allowed,medium,Port scan detected
2025-01-24 19:06:46,192.168.100.76,98.58.96.207,allowed,medium,Brute-force attempt
2025-01-02 07:12:14,192.168.171.4,248.115.246.83,allowed,low,Malware signature found
2025-01-10 00:27:33,192.168.55.218,92.20.181.11,allowed,low,Normal traffic
2025-01-25 03:11:24,192.168.215.122,3.107.119.211,allowed,medium,Malware signature found
2025-01-02 07:24:15,192.168.97.234,150.151.100.16,allowed,medium,Malware signature found
2025-01-24 17:22:54,192.168.193.51,223.216.3.228,allowed,low,Suspicious outbound
2025-01-04 12:52:57,192.168.201.28,233.231.247.207,allowed,low,Normal traffic
2025-01-18 21:00:21,192.168.194.150,2.118.23.73,allowed,medium,Malware signature found
2025-01-12 22:14:47,192.168.60.169,189.239.127.133,allowed,low,Malware signature found
2025-01-13 03:20:00,192.168.158.155,254.145.10.39,allowed,high,Malware signature found
2025-01-08 13:32:38,192.168.84.146,194.35.207.155,blocked,medium,Brute-force attempt
2025-01-06 08:16:31,192.168.119.57,86.163.29.207,allowed,low,Malware signature found
2025-01-24 09:40:38,192.168.198.216,238.244.22.2,blocked,medium,Port scan detected
2025-01-18 08:01:49,192.168.234.15,240.29.160.213,allowed,critical,Brute-force attempt
2025-01-18 09:20:58,192.168.178.201,118.172.245.57,allowed,low,Brute-force attempt
2025-01-26 01:36:24,192.168.210.207,243.250.36.183,allowed,low,Normal traffic
2025-01-14 12:02:38,192.168.133.125,123.203.150.42,allowed,medium,Brute-force attempt
2025-01-02 00:13:45,192.168.157.202,138.43.117.86,blocked,medium,Suspicious outbound
2025-01-29 12:20:51,192.168.7.11,217.143.156.92,allowed,high,Brute-force attempt
2025-01-26 14:19:06,192.168.219.186,14.190.187.80,allowed,critical,Malware signature found
2025-01-25 13:48:57,192.168.133.148,168.64.133.181,allowed,low,Port scan detected
2025-01-06 12:28:27,192.168.251.98,59.243.116.184,allowed,low,Malware signature found
2025-01-19 01:53:08,192.168.196.79,69.47.118.245,allowed,low,Normal traffic
2025-01-10 20:46:09,192.168.158.235,192.242.243.125,blocked,low,Brute-force attempt
2025-01-23 03:18:46,192.168.144.128,142.29.162.139,blocked,medium,Suspicious outbound
2025-01-22 12:51:34,192.168.59.119,47.210.193.144,blocked,medium,Malware signature found
2025-01-10 02:06:10,192.168.58.17,169.85.73.71,allowed,low,Brute-force attempt
2025-01-24 21:10:08,192.168.155.187,135.223.61.73,allowed,medium,Port scan detected
2025-01-12 02:04:56,192.168.74.133,150.208.231.19,allowed,low,Brute-force attempt
2025-01-24 14:45:10,192.168.186.252,228.140.240.71,allowed,low,Suspicious outbound
2025-01-29 00:02:36,192.168.5.170,82.151.83.170,blocked,low,Suspicious outbound
2025-01-05 01:42:26,192.168.12.26,62.15.202.113,blocked,critical,Port scan detected
2025-01-10 10:27:20,192.168.188.7,106.49.145.12,allowed,medium,Suspicious outbound
